epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,110.416,1.96197,2.3274,1.87039,0,0,0,0,0,153869,0,0.0883,0.0013,0.0013
2,216.658,2.10351,2.22649,2.01109,0,0,0,0,0,1.55521e+06,0,0.075673,0.00267303,0.00267303
3,321.853,2.0632,2.14894,1.96837,0,0,0,0,0,1.84869e+07,0,0.0630181,0.00401808,0.00401808
4,428.047,2.11593,2.12829,2.00613,0,0,0,0,0,4.14567e+06,0,0.0503352,0.00533517,0.00533517
5,538.101,2.04014,2.04072,1.97941,0,0,0,0,0,807242,0,0.0376243,0.00662428,0.00662428
6,639.894,2.08268,2.12939,1.99999,0,0,0,0,0,210076,0,0.0248854,0.00788541,0.00788541
7,740.665,1.98085,2.00379,1.95542,0,0,0,0,0,34907,0,0.0121186,0.00911858,0.00911858
8,841.766,1.948,1.94779,1.93052,0,0,0,0,0,4344.98,0,0.0093007,0.0093007,0.0093007
9,952.387,1.92127,1.84394,1.89076,0,0,0,0,0,4081.11,0,0.0092008,0.0092008,0.0092008
10,1062.7,1.87599,1.76776,1.81303,0,0,0,0,0,3614.61,0,0.0091009,0.0091009,0.0091009
11,1174.31,1.88669,1.75789,1.83821,0,0,0,0,0,1268.95,0,0.009001,0.009001,0.009001
12,1284.77,1.86819,1.80964,1.87646,0,0,0,0,0,1689.49,0,0.0089011,0.0089011,0.0089011
13,1386.19,1.87107,1.72993,1.84899,0,0,0,0,0,1145.61,0,0.0088012,0.0088012,0.0088012
14,1496.71,1.8482,1.71762,1.84855,0,0,0,0,0,855.76,0,0.0087013,0.0087013,0.0087013
15,1607.23,1.79264,1.66712,1.79656,0,0,0,0,0,815.255,0,0.0086014,0.0086014,0.0086014
16,1718.51,1.81569,1.69898,1.82175,0,0,0,0,0,798.8,0,0.0085015,0.0085015,0.0085015
17,1828.44,1.82712,1.66636,1.79731,0,0,0,0,0,771.417,0,0.0084016,0.0084016,0.0084016
18,1938.1,1.78253,1.60689,1.76679,0,0,0,0,0,732.54,0,0.0083017,0.0083017,0.0083017
19,2047.93,1.72479,1.56188,1.75584,0,0,0,0,0,544.754,0,0.0082018,0.0082018,0.0082018
20,2158.33,1.77987,1.61416,1.79024,0,0,0,0,0,214.141,0,0.0081019,0.0081019,0.0081019
21,2264.38,1.79861,1.64998,1.8263,0,0,0,0,0,321.216,0,0.008002,0.008002,0.008002
22,2373.16,1.73648,1.5308,1.73582,0,0,0,0,0,543.837,0,0.0079021,0.0079021,0.0079021
23,2483.06,1.7198,1.47337,1.71093,0,0,0,0,0,658.191,0,0.0078022,0.0078022,0.0078022
